,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
DESC_GAME_OVER_0,,"When reaching a Game Over, go back to the start of the world.","Lors d'un Game Over, retour au début du monde","Przy skończeniu żyć, wróć na początek świata.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo mиpa.","Al llegar a un Game Over, vuelve al principio del mundo.","Dopo un Game Over, torna all'inizio del mondo.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＷＯＲＬＤ.","Kapag natalo, balik sa simula ng mundo",Zurück zum ersten Level der Welt bei einem Game-Over.,Tüm canlarını kaybedİnce dünyanın başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal dunia.","Quando você alcançar um Game Over, volte para o começo do mundo.",ワールドのはじまりにかえる。
DESC_GAME_OVER_1,,"When reaching a Game Over, go back to the start of the level.","Lors d'un Game Over, retour au début du niveau","Przy skończeniu żyć, wróć na początek poziomu.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo Уpobhя.","Al llegar a un Game Over, vuelve al principio del nivel.","Dopo un Game Over, torna all'inizio del livello.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＬＥＶＥＬ.","Kapag natalo, balik sa simula ng lebe;",Zurück zum Start des Levels bei einem Game-Over.,Tüm canlarını kaybedİnce levelİn başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal level.","Quando você alcançar um Game Over, volte para o começo do nível.",ステージのはじまりにかえる。
DESC_GAME_OVER_2,,"When reaching a Game Over, go back to the start of the game.","Lors d'un Game Over, retour au début du jeu","Przy skończeniu żyć, wróć na początek gry.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo игpы.","Al llegar a un Game Over, vuelve al principio del juego.","Dopo un Game Over, torna all'inizio del gioco.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＧＡＭＥ.","Kapag natalo, balik sa simula ng game",Zurück zum Spielanfang bei einem Game-Over.,Tüm canlarını kaybedİnce oyunun başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal permainan.","Quando você alcançar um Game Over, volte para o começo do jogo.",ゲームのはじまりにかえる。
DESC_LEVEL_DESIGN_0,,"Level design is the same as the original, can be unfair at times.","Les niveaux sont conçus de la même manière que dans le jeu original, peut être injuste.","Zarys poziomów identyczny do oryginału, może być czasami niesprawiedliwy.","Дизaйh Уpobhя takoй жe kak и b opигиhaлe, mectamи heчecthый.","El diseño de niveles es el mismo que el original, puede ser injusto a veces.","I design dei livelli sono identici agli originali, possono essere ingiusti certe volte.","ＬＥＶＥＬ ＤＥＳＩＧＮ ＩＳ ＴＨＥ ＳＡＭＥ ＡＳ ＴＨＥ ＯＲＩＧＩＮＡＬ, ＣＡＮ ＢＥ ＵＮＦＡＩＲ ＡＴ ＴＩＭＥＳ.","Original na design ng level, maaring mahirap",Das Leveldesign ist unverändert. Eventuell unfair.,Level tasarımı orİjİnal İle aynıdır. Bazı zamanlarda haksızlıklar olabİlİr.,"Desain levelnya sama seperti aslinya, terkadang bisa tidak adil.","O design dos níveis é o mesmo do jogo original, pode ser injusto as vezes.",オリジナルゲームのように（ふこうへい　かも）。
DESC_LEVEL_DESIGN_1,,Level design is adjusted to be much fairer.,Les niveaux sont conçus d'une manière plus juste et agréable.,Zarys poziomów zmieniony na sprawiedliwszy.,Дизaйh Уpobheй ctaл бoлee cпpabeдлиbыm.,El diseño de los niveles se ha ajustado para que sea mucho más justo.,I design dei livelli sono modificati per essere più equilibrati.,ＬＥＶＥＬ ＤＥＳＩＧＮ ＩＳ ＡＤＪＵＳＴＥＤ ＴＯ ＢＥ ＭＵＣＨ ＦＡＩＲＥＲ.,Patas na design ng level,Das Leveldesign wird für ein faireres Spielerlebnis angepasst.,Level tasarımı daha adİl olacak şekİlde ayarlanmıştır.,Desain level disesuaikan agar lebih adil.,O design dos níveis é ajustado para ser muito mais justo.,もうすこし　こうへい。
DESC_TIME_0,,There is no time limit in levels.,Il n'y a pas de limite de temps dans ce niveau,Nie ma limitu czasu w poziomach.,ha Уpobhяx hetУ лиmиta bpemehи.,No hay límite de tiempo en los niveles.,Non ci saranno limiti di tempo nei livelli.,ＴＨＥＲＥ ＩＳ ＮＯ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＬＥＶＥＬＳ.,Walang time limit sa mga lebel,Bei Leveln ist kein Zeitlimit vorhanden.,Levellerde zaman lİmİtİ yok.,Tidak ada batasan waktu dalam level.,Não tem tempo limite nos níveis.,ステージに　じかんせいげんは　ない。
DESC_TIME_1,,There is a time limit in all levels.,Il y a une limite de temps dans ce niveau,Jest limit czasu w poziomach.,ha Уpobhяx ectь лиmиt bpemehи.,Hay un límite de tiempo en todos los niveles.,Ci saranno limiti di tempo nei livelli.,ＴＨＥＲＥ ＩＳ Ａ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＡＬＬ ＬＥＶＥＬＳ.,May time limit sa mga lebel,Bei Leveln gibt es ein Zeitlimit.,Tüm levellerde zaman lİmİtİ var.,Ada batas waktu di semua level.,Tem tempo limite nos níveis.,ステージに　じかんせいげんは　ある。
DESC_TIME_2,,"There is a time limit in all levels, but it ticks every second.",Il y a une limite de temps dans ce niveau,Jest limit czasu w poziomach.,ha Уpobhяx ectь лиmиt bpemehи.,Hay un límite de tiempo en todos los niveles.,Ci saranno limiti di tempo nei livelli.,"ＴＨＥＲＥ ＩＳ Ａ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＡＬＬ ＬＥＶＥＬＳ, ＢＵＴ ＩＴ ＴＩＣＫＳ ＥＶＥＲ ＳＥＣＯＮＤ.",May time limit sa mga lebel,Bei Leveln gibt es ein Zeitlimit.,Tüm levellerde zaman lİmİtİ var.,Ada batas waktu di semua level.,Tem tempo limite nos níveis.,ステージに　じかんせいげんは　ある。
DESC_BACKSCROLL_0,,"You cannot move backwards in levels (unless a custom level allows it), Intended Experience",Vous ne pouvez pas retournez en arrière (sauf si un niveau custom vous l'autorise). Expérience prévue,Nie możesz iść do tyłu (chyba że poziom użytnikowa na to pozwala) Domyślny styl gry,"bы he moжete дbигatьcя haзaд ha Уpobhяx (kpome, ecли пoльзobateльckий Уpobehь пoзboляet), пpeдпoлaгaemый oпыt","No puedes retroceder en los niveles (a menos que un nivel personalizado lo permita), Experiencia prevista","Non puoi tornare indietro nei livelli (a meno che un livello creato dall'utente lo consente), l'esperienza originale.","ＹＯＵ ＣＡＮＮＯＴ ＭＯＶＥ ＢＡＣＫＷＡＲＤＳ ＩＮ ＬＥＶＥＬＳ (ＵＮＬＥＳＳ Ａ ＣＵＳＴＯＭ ＬＥＶＥＬ ＡＬＬＯＷＳ ＩＴ), ＩＮＴＥＮＤＥＤ ＥＸＰＥＲＩＥＮＣＥ","Walang backscroll, maliban kung pwede sa custom game, klasik na experience","Die Kamera bewegt sich nicht nach links, wie bei den Originalspielen, ausser wenn ein Nutzererstelltes Level es erlaubt.","Levellerde gerİye doğru hareket edemezsİnİz (özel bİr level buna İzİn vermedİğİ sürece), Amaçlanan Deneyİm","Anda tidak dapat bergerak mundur dalam level (kecuali level kustom mengizinkannya), Pengalaman yang Diinginkan","Você não pode andar para trás nos níveis (a menos que um nível customizado o permita), Experiência recomendada.",デフォルトステージモード：もどることはできない。
DESC_BACKSCROLL_1,,You can move backwards in all levels (unless a custom level prevents it),Vous pouvez retournez en arrière (sauf si un niveau custom vous l'en empêche),Możesz iść do tyłu (chyba że poziom użytnikowa na to nie pozwala) ,"bы moжete дbигatьcя haзaд ha Уpobhяx (kpome, ecли пoльзobateльckий Уpobehь he пoзboляet)",Puedes retroceder en todos los niveles (a menos que un nivel personalizado lo impida).,Puoi tornare indietro nei livelli (a meno che un livello creato dall'utente non lo consente).,ＹＯＵ ＣＡＮ ＭＯＶＥ ＢＡＣＫＷＡＲＤＳ ＩＮ ＡＬＬ ＬＥＶＥＬＳ (ＵＮＬＥＳＳ Ａ ＣＵＳＴＯＭ ＬＥＶＥＬ ＰＲＥＶＥＮＴＳ ＩＴ),"Free Camera, maliban kung pinagbawal sa custom games","Die Kamera kann sich auch nach links bewegen, ausser wenn ein nutzererstelltes Level es nicht erlaubt.",Tüm levellerde gerİye doğru hareket edebİlİrsİnİz (özel bİr level bunu engellemedİğİ sürece),Anda dapat bergerak mundur di semua level (kecuali level kustom mencegahnya),"Você pode andar para trás em todos os níveis (a menos que um nível customizado não o permita), Experiência recomendada.",デフォルトステージモード：もどることはできる。
DESC_LAKITU_0,,"Lakitu will throw spinies straight upwards, exactly like in the original games. (was due to a bug)","Lakitu jettera des Hériss en ligne droite verticale, comme il le faisait dans les jeux originaux (à cause d'un bug)","Lakitu rzuca kolczastych prosto w górę, dokładnie jak w oryginale. (Oryginalnie niezamierzane)","ЛakиtУ бУдet пoдбpacыbatь koлючkУ пpяmo bbepx, b toчhoctи kak b opигиhaльhыx игpax. (эto пpoизoшлo из-зa oшибkи)","Lakitu lanzará a los Spiny directamente hacia arriba, exactamente igual que en los juegos originales. (debido a un error)","Lakitu lancerà i koopistrici verticalmente verso l'alto, esattamente come nel gioco originale (questo era a causa di un bug).","ＬＡＫＩＴＵ ＷＩＬＬ ＴＨＲＯＷ ＳＰＩＮＩＥＳ ＳＴＲＡＩＧＨＴ ＵＰＷＡＲＤＳ, ＥＸＡＣＴＬＹ ＬＩＫＥ ＩＮ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥＳ. (ＷＡＳ ＤＵＥ ＴＯ Ａ ＢＵＧ)","Pataas, Klasik na pagtapon ng Lakitu ng spiny","Lakitu wirft Stachis senkrecht nach oben, wie bei den Originalspielen. (Dies passierte aufgrund eines Bugs)",Lakİtu orİjİnal oyunlardakİ gİbİ Spİny'lerİ dümdüz yukarı doğru fırlatacak. (bİr hata nedenİyle),"Lakitu akan melemparkan spiny lurus ke atas, persis seperti di game aslinya. (disebabkan oleh bug)","Lakitus vão arremessar spinys direto para cima, que nem no jogo original.",トゲゾーが　うえに　なげられる。
DESC_LAKITU_1,,"Lakitu will throw spinies diagonally up, which was the originally intended behaviour.","Lakitu jettera des Hériss en diagonal, ce qui était le comportement originalement prévu. ","Lakitu rzuca kolczastych ukośnie do góry, tak jak miało być w oryginale.","ЛakиtУ пoдбpacыbaet koлючkУ пo диaгohaли bbepx, чto и былo изhaчaльho зaдУmaho.","Lakitu lanzará a los Spiny en diagonal hacia arriba, que era el comportamiento previsto originalmente.","Lakitu lancerà i koopistrici in diagonale verso l'alto, il comportamento originariamente inteso.","ＬＡＫＩＴＵ ＷＩＬＬ ＴＨＲＯＷ ＳＰＩＮＩＥＳ ＤＩＡＧＯＮＡＬＬＹ ＵＰ, ＷＨＩＣＨ ＷＡＳ ＴＨＥ ＯＲＩＧＩＮＡＬＬＹ ＩＮＴＥＮＤＥＤ ＢＥＨＡＶＩＯＵＲ.","Pasulong, Maayos na pagtapon ng Lakitu ng mga spiny","Lakitu wirft Stachis diagonal nach oben, was das eigentliche Verhalten von Lakitu sein sollte.","Lakİtu, Spİny düşmanlarını çapraz olarak yukarı fırlatacak, düzeltİlmİş davranış.","Lakitu akan melemparkan spiny secara diagonal ke atas, yang merupakan perilaku yang dimaksudkan pada awalnya.","Lakitus vão arremessar spinys diagonalmente para cima, o que era originalmente pretendido",トゲゾーが　ななめうえに　なげられる。
ACTION_JUMP,,Jump,Sauter,Skok,Пpыжok,Saltar,Salta,ＪＵＭＰ,Jump,Springen,Zıpla,Lompat,Pular,ジャンプ
ACTION_RUN,,Run,Courir,Bieg,Бeг,Correr,Corri,ＲＵＮ,Kilos,Rennen,Koş,Lari,Correr,ダッシュ
ACTION_ACTION,"Terrible name, but basically the ""action button"", used for fireballs and powerup actions",Action,Action,Akcja,Дeйctbиe,Acción,Azione,ＡＣＴＩＯＮ,Aksyon,Aktion,Aksİyon,Aksi,Ação,アクション
ACTION_LEFT,,Left,Gauche,Lewo,bлebo,Izquierda,Sinistra,ＬＥＦＴ,Kaliwa,Links,Sol,Kiri,Esquerda,ひだり
ACTION_RIGHT,,Right,Droite,Prawo,bпpabo,Derecha,Destra,ＲＩＧＨＴ,Kanan,Rechts,Sağ,Kanan ,Direita,みぎ
ACTION_UP,,Up,Haut,Góra,bbepx,Arriba,Su,ＵＰ,Taas,Oben,Yukarı,Atas,Cima,うえ
ACTION_DOWN,,Down,Bas,Dół,bhиз,Abajo,Giù,ＤＯＷＮ,Baba,Unten,Aşağı,Bawah ,Baixo,した
CUTSCENE_CASTLE_TOAD_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,¡Gracias {PLAYER}!,Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,"Danke, {PLAYER}!",Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！
CUTSCENE_CASTLE_TOAD_2,,But our princess is in another castle!,Mais notre princesse est dans un autre château !,Ale nasza księżniczka jest w innym zamku!,ho пpиhцecca b дpУгom зamke!,¡Pero nuestra princesa está en otro castillo!,Ma la nostra principessa si trova in un altro castello!,ＢＵＴ ＯＵＲ ＰＲＩＮＣＥＳＳ ＩＳ ＩＮ ＡＮＯＴＨＥＲ ＣＡＳＴＬＥ!,Ngunit wala sa palasyong ito ang ating prinsesa!,Leider ist die Prinzessin in einem anderen Schloss!,ama bİzİm prensesİmİz başka bİr kalede!,Tapi tuan putri berada di kastil lain!,Mas a nossa princesa está em outro castelo!,でも、おひめさまは　べつの　しろに　いるの。
CUTSCENE_CASTLE_PEACH_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,¡Gracias {PLAYER}!,Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,"Danke, {PLAYER}!",Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！
CUTSCENE_CASTLE_PEACH_2,,Your quest is over.,Votre quête est terminée.,Twoja przygoda dobiegła końca.,tboё пpиkлючehиe пoдoшлo k kohцУ.,Tu misión ha terminado.,La tua missione è terminata.,ＹＯＵＲ ＱＵＥＳＴ ＩＳ ＯＶＥＲ.,Dito na nagtatapos ang iyong misyon,Dein Abenteuer ist beendet.,Görevİn sona erdİ.,Quest Anda telah berakhir.,Sua missão chegou ao fim.,きみの　ぼうけんは　おわった
CUTSCENE_CASTLE_PEACH_3,,We present you a new quest.,Nous vous en présentons une nouvelle.,Prezentujemy tobie nowe wyzwanie.,ho У hac ectь koe-чto eщё для teбя.,Te presentamos una nueva misión.,Ti presentiamo una nuova missione.,ＷＥ ＰＲＥＳＥＮＴ ＹＯＵ Ａ ＮＥＷ ＱＵＥＳＴ.,May bago kaming misyon na para sayo,Nun bieten wir dir ein weiteres.,Sİze yenİ bİr görev sunuyoruz.,Kami hadirkan kau sebuah quest baru.,Nos apresentamos a você uma nova missão.,あたらしい　ぼうけんを　しょうかいしよう
CUTSCENE_CASTLE_PEACH_4,,Extra content has been unlocked! Enjoy!,Nouveaux contenus débloqués ! Profitez bien !,Dodatkowe zasoby zostały odblokowane! Powodzenia!,Эkctpa-kohteht paзблokиpobah! beceлиcь!,Se ha desbloqueado contenido extra. Que lo disfrutes!,è stato aggiunto del contenuto extra! Divertiti!,ＥＸＴＲＡ ＣＯＮＴＥＮＴ ＨＡＳ ＢＥＥＮ ＵＮＬＯＣＫＥＤ! ＥＮＪＯＹ!,May access ka na sa ibang content! Enjoy!,Weitere Inhalte sind jetzt verfügbar! Viel Spass!,Ekstra İçerİk açıldı! İyİ eğlenceler!,Konten tambahan telah dibuka! Selamat menikmati!,Conteúdo extra desbloqueado! Aproveite!,ボーナスコンテンツがあいたよ！たのしんでね！
CUTSCENE_MARATHON_PEACH_1,,Great run {PLAYER}!,Belle run {PLAYER}!,Swietna próba {PLAYER}!,xopoший зaбeг {PLAYER}!,¡Gran carrera {PLAYER}!,Bella run {PLAYER}!,ＧＲＥＡＴ ＲＵＮ {ＰＬＡＹＥＲ}!,Mahusay {PLAYER}!,"Sehr gut, {PLAYER}!","İyİ koşu, {PLAYER}!",Lari yang hebat {PLAYER}!,Ótima rodada {PLAYER}!,よくやった、{PLAYER}！
CUTSCENE_MARATHON_PEACH_2,,Your time was: {TIME},Tu as mis: {TIME},Twój czas to: {TIME},tboё bpemя: {TIME},Tu tiempo fue: {TIME},Il tuo tempo è: {TIME},ＹＯＵＲ ＴＩＭＥ ＷＡＳ: {ＴＩＭＥ},Ang oras mo ay: {TIME},Deine Zeit ist: {TIME},Senİn zamanın: {TİME},Waktu Anda adalah: {TIME},Seu tempo foi: {TIME},タイム：{TIME}
CUTSCENE_MARATHON_PEACH_3,,That's a new best! Great job!,C'est un nouveau record ! Bien joué !,To nowy rekord! Dobra robota!,hobый pekopд! Пoздpabляю!,¡Esa es una nueva mejor marca! ¡Buen trabajo!,Questo è un nuovo record! Bel lavoro!,ＴＨＡＴ'Ｓ Ａ ＮＥＷ ＢＥＳＴ! ＧＲＥＡＴ ＪＯＢ!,Bagong record! Yehey!,Dies ist ein neuer Rekord! Glückwunsch!,Bu yenİ bİr rekor! Harİka İş!,Itu rekor baru! Kerja bagus!,Esse foi um novo recorde! Parabéns!,きろくこうしん！おめでとう！
LEVEL_WARPZONE,,Welcome to Warp Zone!,Bienvenue dans la zone de téléportation !,Witaj w Metrze Rur!,Дoбpo пoжaлobatь b bapп ЗohУ!,¡Bienvenido a la Warp Zone!,Benvenuto nella Warp Zone!,ＷＥＬＣＯＭＥ ＴＯ ＷＡＲＰ ＺＯＮＥ!,Welcome sa Warp Zone,Willkommen bei der Warp-Zone!,Warp Bölgesİne Hoş Geldİn!,Selamat datang di Warp Zone!,Bem-vindo a Warp Zone!,ワープゾーンへようこそ！
CHALLENGE_MISS,,Miss…,Perdu…,Zguba…,Пpomax…,Perdió…,Peccato…,ＭＩＳＳ…,Ayun lang…,Verloren…,Kaybettİn…,Gagal…,Perdeu...,ミス...
CHALLENGE_DIALOGUE_RESULTS,"Dialogue is what toad says, when telling you your final results on the challenge hunt",Your Results,Résultats Finaux,Twoje Rezultaty,tboи peзУльtatы,Tus resultados,I tuoi risultati,ＹＯＵＲ ＲＥＳＵＬＴＳ,Iyong resulta,End- ergebnis,Sonuçların,Hasil Anda,Seus Resultados,けっか
CHALLENGE_DIALOGUE_SCORE,,Score,Score,Wynik,oчkи,Puntuación,Punteggio,ＳＣＯＲＥ,Score,Punkte,Skor,Skor,Pontuação,ポイント
CHALLENGE_DIALOGUE_COINS,,Coins,Pièces,Monety,mohetы,Monedas,Monete,ＣＯＩＮＳ,Coins,Münzen,Altınlar,Koin,Moedas,コイン
CHALLENGE_DIALOGUE_EXIT,,Press jump to continue.,Appuyez pour quitter,Naciśnij aby wyjść,haжmиte любУю khoпkУ.,Pulse Saltar para continuar.,"Schiaccia il pulsante ""salta"" per uscire.",ＰＲＥＳＳ ＪＵＭＰ ＴＯ ＣＯＮＴＩＮＵＥ.,Pinduntin ang Jump button para umalis,Zum Beenden springen.,Çıkmak İçİn zıpla.,Tekan lompat untuk keluar.,Pressione pular para continuar.,「ジャンプ」を　おして　ぞっこう
TIME_UP,message that shows when you run out of time,Time Up!,Temps écoulé !,Koniec Czasu,bpemя bышлo!,¡Se acabo el Tiempo!,Tempo scaduto!,ＴＩＭＥ ＵＰ!,Time up!,Zeit vorbei!,Zaman Bİttİ!,Waktunya Habis!,Acabou o Tempo!,TIME UP
HUD_TIME,,Time,Temps,Czas,bpemя ,Tiempo,Tempo,ＴＩＭＥ,Oras!,Zeit,Zaman,Waktu,Tempo,TIME
HUD_WORLD,,World,Monde,Świat,mиp,Mundo,Mondo,ＷＯＲＬＤ,Mundo,Welt,Dünya,Dunia,Mundo,WORLD
RESOURCE_AVAILABLE,,Available Resource Packs,Packs de ressources disponibles,Dostępne Paczki Zasobów,ДoctУпhыe tekctУp-пakи,Paquetes de recursos disponibles,Pacchetti di risorse disponibili,ＡＶＡＩＬＡＢＬＥ ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Mga available na Resource Pack,Verfügbare Ressourcenpakete,Mevcut Kaynak Paketlerİ,Paket Resource yang Tersedia,Pacotes de Recurso Disponíveis,リソースパック
RESOURCE_LOADED,,Loaded Resource Packs,Packs de ressources chargés,Załadowane Paczki Zasobów,ЗaгpУжehhыe tekctУp-пakи,Paquetes de recursos cargados,Pacchetti di risorse caricati,ＬＯＡＤＥＤ ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Mga loaded na Resource Pack,Geladene Ressourcenpakete,Yüklü Kaynak Paketlerİ,Paket Resource Aktif,Pacotes de Recurso Carregados,ロードされたリソースパック
RESOURCE_OPEN_FOLDER,,Open Folder,Ouvrir Dossier,Otwórz Folder,otkpыtь пaпkУ,Abrir Carpeta,Apri cartella,ＯＰＥＮ ＦＯＬＤＥＲ,Buksan ang Folder,Ordner öffnen,Klasörü Aç,Buka Folder,Abrir Pasta,フォルダーをひらく
RESOURCE_REFRESH,,Refresh List,Rafraichir Liste,Odśwież Listę,oбhobиtь лиct,Actualizar lista,Aggiorna elenco,ＲＥＦＲＥＳＨ ＬＩＳＴ,Reload,Liste aktualisieren,Lİsteyİ Yenİle,Perbarui Daftar,Recarregar Lista,リストをこうしん
CUTSCENE_SP_PEACH_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,"¡Gracias, {PLAYER}!",Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,Danke {PLAYER}!,Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！
CUTSCENE_SP_PEACH_2,,You cleared every world,Vous avez parcouru chaque monde,Ukończyłeś każdy świat,kaждый mиp был пpoйдeh,Has completado todos los mundos.,Hai completato ogni mondo,ＹＯＵ ＣＬＥＡＲＥＤ ＥＶＥＲＹ ＷＯＲＬＤ,Natapos mo ang bawat mundo!,Alle Welten besiegt,Sen tüm dünyaları bİtİrdİn,Kau selesaikan setiap dunia,Você passou por todos os mundos,すべてのワールドがクリアされた
CUTSCENE_SP_PEACH_3,,You are a super player!,Vous êtes un super joueur !,Jesteś super graczem!,tы cУпep-Игpok!,¡Eres un jugador increíble!,Sei un super giocatore!,ＹＯＵ ＡＲＥ Ａ ＳＵＰＥＲ ＰＬＡＹＥＲ!,Isa ka talagang suepr player!,Du bist ein toller Spieler!,Sen süper bİr oyuncusun!,Kau adalah pemain yang hebat!,Você é um super player!,きみはスーパープレイヤーだ！
,,,Vous êtes une superbe joueuse !,,,,,,,,,,,
CUTSCENE_LL_PEACH_1,This is one of the worst speeches ive ever read,Peace is paved,La paix est restaurée,Pokój się stał,mиp hactaл,La paz está pavimentada,La principessa peach è salva,ＰＥＡＣＥ ＩＳ ＰＡＶＥＤ,At nakamit na ang kapayapan,Königreich gerettet,Barışa yol döşendİ,Perdamaian telah diaspal,A paz foi alcançada,へいわは　かいふくされた
CUTSCENE_LL_PEACH_2,"Feel free to rewrite how you want, and feel free to preserve the AWFUL translation style of the original message",With Kingdom Saved,Et le royaume sauvé,Królestwo trwa,Цapctbo cпaceho,Con el Reino Salvao,e anche il suo regno.,ＷＩＴＨ ＫＩＮＧＤＯＭ ＳＡＶＥＤ,Nang maligtas ang Kaharian,Und Frieden gesichert,"Krallık da kurtarıldı,
gönülden şendİ.",Dengan Kerajaan Terselamatkan,Com o Reino Salvo,おうこくは　すくわれ
CUTSCENE_LL_PEACH_3,"Just make sure to get the idea of ""The day is saved! You're our hero! Hurrah!""",Hurrah to {PLAYER},Hourra pour {PLAYER} !,Niech żyje {PLAYER},cлaba {PLAYER},Hurra por {PLAYER},Hurrah a {PLAYER}!,ＨＵＲＲＡＨ ＴＯ {ＰＬＡＹＥＲ},Magpugay kay {PLAYER} !,Hurra an {PLAYER}!,Yaşasın {PLAYER}!,Hore untuk {PLAYER}!,Parabéns {PLAYER},{PLAYER}ばんざい
CUTSCENE_LL_PEACH_4,,Our only hero,Notre grand héro,Nasz bohater,haш beлиkий гepoй,Nuestro único héroe,Il nostro unico eroe.,ＯＵＲ ＯＮＬＹ ＨＥＲＯ,Ang ating bayani,"Lieber Held,",Bİzİm tek kahramanımız,Pahlawan kita satu-satunya,Nosso herói destemido,ゆいいつの　ヒーロー
CUTSCENE_LL_PEACH_4F,"needed for languages which use female pronouns for ""hero"" (toadette), defaults to male pronouns otherwise",Our only heroine,Notre grand héroïne,Nasza bohaterka,haшa beлиkaя гepoиhя,Nuestra única heroína,la nostra unica eroina.,ＯＵＲ ＯＮＬＹ ＨＥＲＯＩＮＥ,Ang ating bayani,"Liebe Heldin,",,Pahlawan wanita kita satu-satunya,Nossa heroína destemida,ゆいいつの　ヒーロー
CUTSCENE_LL_PEACH_5,,This ends your trip,C'est ainsi que se termine,"Kończy się szlak,",bot и ckaзkи koheц,Aquí termina tu viaje.,la tua avventura di una lunga amicizia,ＴＨＩＳ ＥＮＤＳ ＹＯＵＲ ＴＲＩＰ,Dito nagtatapos,Somit endet unsere,Son buldu bu sefer,Ini mengakhiri perjalanan Anda,Aqui termina sua rotina,ながい　ゆうじょうの
CUTSCENE_LL_PEACH_6,,Of a long friendship,Cette bien longue amitié,Przyjaźni znak.,Дoлгoй дpУжбы,De una larga amistad,e giunta al termine.,ＯＦ Ａ ＬＯＮＧ ＦＲＩＥＮＤＳＨＩＰ,Ang ating paglalakbay,Lange Reise.,Dostlukla geçen nİce sene,Dari persahabatan yang panjang,De uma amizade divina,たびが　おわる
CUTSCENE_LL_PEACH_7,,100000 PTS. ADDED,100000 PTS. Rajoutés,100000 PKT. DODANYCH,100000 oЧk. ДoБabЛeho,100000 PTS. AÑADIDOS,100000 PT. AGGIUNTI,100000 ＰＴＳ. ＡＤＤＥＤ,100000 PTS. ADDED,"100,000 Pkt. hinzugefügt",Her kalan hayat İçİn,100000 POIN DITAMBAHKAN,100000 PTS. ADICIONADOS,ざんき　1ごとに
CUTSCENE_LL_PEACH_8,,FOR EACH LIFE LEFT.,Pour chaque vies restantes,ZA KAŻDE POZOSTAŁE ŻYCIE.,Зa kaЖДУЮ octabШУЮcЯ ЖИЗhЬ,POR CADA VIDA RESTANTE,PER OGNI VITA RIMASTA.,ＦＯＲ ＥＡＣＨ ＬＩＦＥ ＬＥＦＴ.,SA BAWAT LIFE NA NATITIRA.,für jedes übrige Leben,100.000 Puan Eklendİ!,UNTUK SETIAP KEHIDUPAN YANG TERSISA.,PARA CADA VIDA RESTANTE.,100000ポイント　かさん
MARATHON_SELECT,,Select Marathon,Choisir Marathon,Wybierz Maraton,bыбepиte mapaфoh,Seleccionar maratón,Seleziona maratona,ＳＥＬＥＣＴ ＭＡＲＡＴＨＯＮ,Pumili ng maraton,Marathon auswählen,Maraton Seç,Pilih Marathon,Selecione uma Maratona,マラソンをえらぶ
